"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"1","","Automotive","Automotive","1","Y","","","sedan; convertible; wagon; suv; van; pick_up_truck; car; truck; motorcycle; bus","road_outdoor; car_indoor","Automotive","logos for all automotive brands (e.g., cars, services, gas)","","3/9/2021",""
"42","","Books and Literature","Books and Literature","1","Y","","","","library_bookstore","Entertainment","","","3/9/2021",""
"52","","Business and Finance","Business and Finance","1","Y","","Office environment, Cubicles, Desk + Screens, Wall St","","office_indoor","Corporate & Association, Office Supplies and Equipment, Computers","logos for all relevant brands","","3/9/2021",""
"132","","Education","Education","1","Y","","","","university_indoor; university_outdoor; classroom","Education","","","3/9/2021",""
"150","","Events and Attractions","Events and Attractions","1","Y","","","","","","","","3/9/2021",""
"186","","Family and Relationships","Family and Relationships","1","Y","","family dinner, family in car, siblings, family gatherings, family BBQ, anniversaries, weddings, baptisms","","","","","","4/15/2022",""
"201","","Fine Art","Fine Art","1","Y","","art history, paintings, sculptures, ballet, dancing, photographs, camera, painting, collage, drawings, act of... drawing, etc.","","","Travel, Entertainment","","","3/9/2021",""
"210","","Food & Drink","Food & Drink","1","Y","","","food and drink objects","kitchen_indoor; restaurant_indoor","Restaurants, Consumer Goods","logos for all relevant brands","","3/9/2021",""
"223","","Healthy Living","Healthy Living","1","Y","","gym, working out, smoothies, hiking, walking, jogging, running, meal prep, yoga, meditation, diets","","","Personal Care, Pharmaceuticals, Sports and Sport Equiptment","","","4/15/2022",""
"10","2","Crossover","Automotive","3","N","","","","","","","","",""
"11","2","Hatchback","Automotive","3","N","","","","","","","","",""
"12","2","Microcar","Automotive","3","N","","Can-Am, Mini Cooper, Solo, Fiat, 2 person cars/ 2 door, Citi Car","","","","","","",""
"239","","Hobbies & Interests","Hobbies & Interests","1","Y","","","","","Entertainment, Consumer Goods, Toys","","","3/9/2021",""
"14","2","Off-Road Vehicles","Automotive","3","N","","","","","","","","",""
"274","","Home & Garden","Home & Garden","1","Y","","","bed; couch; chair; dining_table; microwave; oven; refrigerator; sink; toaster; toilet","house_indoor; house_outdoor","Home","","","3/9/2021",""
"16","1","Auto Type","Automotive","2","N","","","","","","logos for all relevant brands","","",""
"17","16","Budget Cars","Automotive","3","N","","","","","","logos for all relevant brands","","",""
"18","16","Certified Pre-Owned Cars","Automotive","3","N","","","","","","","","",""
"19","16","Classic Cars","Automotive","3","N","","","","","","","","",""
"20","16","Concept Cars","Automotive","3","N","","","","","","","","",""
"21","16","Driverless Cars","Automotive","3","N","","","","","","logos for all relevant brands","","",""
"286","","Medical Health","Medical Health","1","Y","All tier 2, 3 and 4 categories as signals","doctors, hospitals, doctors office, dentists, stethoscope, ambulance","doctor","hospital_indoor","","","","4/15/2022",""
"324","","Movies","Movies","1","Y","","Movie Theater, Projection Screen, popcorn in theater, cartoons","","movie_theatre","Studios - Universal Pictures, MGM, 21 Century Fox, Focus Features, Warner Brothers ","","Star Wars, Marvel, Avengers, Batman, Iron Man, Spider Man, Titanic, James Cameron, Michael Bay, Martin Scorsese, Steven Spielberg, Geroge Lucas","4/15/2022",""
"24","16","Performance Cars","Automotive","3","N","","","","","","","","",""
"338","","Music and Audio","Music and Audio","1","Y","","Visual: instruments, DJ table, records, music studio, sound booth, microphone, singing (action) + microphone, Radio on table, floor radio, jukebox, car radio","","","","","","3/9/2021",""
"25","1","Car Culture","Automotive","2","N","","","","","","","","",""
"26","1","Dash Cam Videos","Automotive","2","N","","","","","","","","",""
"422","","Pets","Pets","1","Y","","collar, leash, ","dog; cat","","Retail","","","3/9/2021",""
"432","","Pop Culture","Pop Culture","1","Y","All tier 2, 3 and 4 categories as signals","social media, entertainment news","","","","","Instagram, TikTok, Facebook, Twitter, Buzzfeed","4/15/2022",""
"29","1","Scooters","Automotive","2","N","","","","","","","","",""
"30","1","Auto Buying and Selling","Automotive","2","N","","","","","","","","",""
"31","1","Auto Insurance","Automotive","2","N","","","","","","logos for all relevant brands","","",""
"441","","Real Estate","Real Estate","1","Y","","For sale sign, open house sign, moving trucks, boxes, construction site","","house_outdoor; house_indoor; retail_outdoor","Real Estate, Home","","","3/9/2021",""
"33","1","Auto Recalls","Automotive","2","N","","","","","","","","",""
"453","","Religion & Spirituality","Religion & Spirituality","1","Y","","religious books, religious symbols, religious customs - head coverings, kippa cap, shawl, tassel, menorah, christmas tree, santa, manger, ","","religious_event","","","","3/9/2021",""
"35","1","Auto Safety","Automotive","2","N","","","","","","","","",""
"464","","Science","Science","1","Y","","science lab, test tubes","","","","","","3/9/2021",""
"37","1","Auto Technology","Automotive","2","N","","GPS, Blind Spot Detection, Auto wipers, ","","","","","","",""
"38","37","Auto Infotainment Technologies","Automotive","3","N","","","","","","","","",""
"39","37","Auto Navigation Systems","Automotive","3","N","","","","","","","","",""
"40","37","Auto Safety Technologies","Automotive","3","N","","","","","","","","",""
"473","","Shopping","Shopping","1","Y","","shopping bags, malls, storefronts, credit cards","","retail_indoor; retail_outdoor","Retail, Consumer Goods","logos for all relevant brands","","3/9/2021",""
"483","","Sports","Sports","1","Y","All tier 2, 3 and 4 categories as signals","","sports objects","sporting_event","Retail, Consumer Goods","logos for all relevant brands","MLB, NBA, NFL, World Cup, Premier League, La Liga, US Open, NHL","4/15/2022",""
"43","42","Art and Photography Books","Books and Literature","2","N","","","","","","","","",""
"44","42","Biographies","Books and Literature","2","N","","","","","","","","",""
"45","42","Children's Literature","Books and Literature","2","N","","","","","","","","",""
"46","42","Comics and Graphic Novels","Books and Literature","2","N","","","","","","","","",""
"47","42","Cookbooks","Books and Literature","2","N","","","","","","","","",""
"48","42","Fiction","Books and Literature","2","N","","","","","","","","",""
"49","42","Poetry","Books and Literature","2","N","","","","","","","","",""
"50","42","Travel Books","Books and Literature","2","N","","","","","","","","",""
"51","42","Young Adult Literature","Books and Literature","2","N","","","","","","","","",""
"552","","Style & Fashion","Style & Fashion","1","Y","All tier 2, 3 and 4 categories as signals","models, runway, fashion week","","","Retail, Personal Care","logos for all relevant brands","","3/9/2021",""
"53","52","Business","Business and Finance","2","N","","","","","","","","",""
"54","53","Business Accounting & Finance","Business and Finance","3","N","","","","","","","","",""
"55","53","Human Resources","Business and Finance","3","N","","","","","","","","",""
"56","53","Large Business","Business and Finance","3","N","","","","","","","","",""
"57","53","Logistics","Business and Finance","3","N","","","","","","","","",""
"58","53","Marketing and Advertising","Business and Finance","3","N","","","","","","","","",""
"59","53","Sales","Business and Finance","3","N","","","","","","","","",""
"60","53","Small and Medium-sized Business","Business and Finance","3","N","","","","","","","","",""
"61","53","Startups","Business and Finance","3","N","","","","","","","","",""
"62","53","Business Administration","Business and Finance","3","N","","","","","","","","",""
"63","53","Business Banking & Finance","Business and Finance","3","N","","","","","","","","",""
"64","63","Angel Investment","Business and Finance","4","N","","","","","","","","",""
"65","63","Bankruptcy","Business and Finance","4","N","","","","","","","","",""
"66","63","Business Loans","Business and Finance","4","N","","","","","","","","",""
"67","63","Debt Factoring & Invoice Discounting","Business and Finance","4","N","","","","","","","","",""
"68","63","Mergers and Acquisitions","Business and Finance","4","N","","","","","","","","",""
"69","63","Private Equity","Business and Finance","4","N","","","","","","","","",""
"70","63","Sale & Lease Back","Business and Finance","4","N","","","","","","","","",""
"71","63","Venture Capital","Business and Finance","4","N","","","","","","","","",""
"72","53","Business I.T.","Business and Finance","3","N","","","","","","","","",""
"73","53","Business Operations","Business and Finance","3","N","","","","","","","","",""
"74","53","Consumer Issues","Business and Finance","3","N","","","","","","","","",""
"75","74","Recalls","Business and Finance","4","N","","","","","","","","",""
"76","53","Executive Leadership & Management","Business and Finance","3","N","","","","","","","","",""
"77","53","Government Business","Business and Finance","3","N","","","","","","","","",""
"78","53","Green Solutions","Business and Finance","3","N","","","","","","","","",""
"79","53","Business Utilities","Business and Finance","3","N","","","","","","","","",""
"80","52","Economy","Business and Finance","2","N","","","","","","","","",""
"81","80","Commodities","Business and Finance","3","N","","","","","","","","",""
"82","80","Currencies","Business and Finance","3","N","","","","","","","","",""
"83","80","Financial Crisis","Business and Finance","3","N","","","","","","","","",""
"84","80","Financial Reform","Business and Finance","3","N","","","","","","","","",""
"85","80","Financial Regulation","Business and Finance","3","N","","","","","","","","",""
"86","80","Gasoline Prices","Business and Finance","3","N","","","","","","","","",""
"87","80","Housing Market","Business and Finance","3","N","","","","","","","","",""
"88","80","Interest Rates","Business and Finance","3","N","","","","","","","","",""
"89","80","Job Market","Business and Finance","3","N","","","","","","","","",""
"90","52","Industries","Business and Finance","2","N","","","","","","","","",""
"91","90","Advertising Industry","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"596","","Technology & Computing","Technology & Computing","1","Y","","computers, laptops, tablets","laptop; cellphone; keyboard","","","logos for all relevant brands","","3/9/2021",""
"640","","Television","Television","1","Y","","television set, flatscreen TVs, vintage TVs","tv; remote","","","","","3/9/2021",""
"94","90","Environmental Services Industry","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"653","","Travel","Travel","1","Y","","airplanes, trains, buses, taxis, airports, train stations, railroads","airplane; train; suitcase","airplane_indoor; beach_outdoor; cruise_outdoor; hotel_indoor; hotel_outdoor","Travel","logos for all relevant brands","","3/9/2021",""
"680","","Video Gaming","Video Gaming","1","Y","","video game console, game controllers","video_game","","Consumer Goods, Computers, Entertainment","logos for all relevant brands","","3/9/2021",""
"2","1","Auto Body Styles","Automotive","2","Y","","","sedan; convertible; wagon; suv; van; pick_up_truck; car; truck; motorcycle; bus","","Automotive","","","3/9/2021",""
"27","1","Motorcycles","Automotive","2","Y","","","Motorcycles","","Automotive","","","3/9/2021",""
"99","90","Information Services Industry","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"100","90","Legal Services Industry","Business and Finance","3","N","","","","courtroom_indoor","","","","",""
"28","1","Road-Side Assistance","Automotive","2","Y","","AAA, Safelight, car jack, spare tire change, side of road, pulled over car","","","Automotive","logos for all relevant brands","","3/9/2021",""
"102","90","Agriculture","Business and Finance","3","N","","","tractor","farm_crop","","logos for all relevant brands","","",""
"103","90","Management Consulting Industry","Business and Finance","3","","","","","","","logos for all relevant brands","","",""
"104","90","Manufacturing Industry","Business and Finance","3","N","","","","assembly_line","","logos for all relevant brands","","",""
"105","90","Mechanical and Industrial Engineering Industry","Business and Finance","3","N","","","","","","","","",""
"32","1","Auto Parts","Automotive","2","Y","","Mufflers, Tires, Car jacks, Tire Rims, Car Engine, Engine parts, Mechanic, Car Lift, Auto Body Repair Shop, Body Shop, Gas Station (maybe)","","","Automotive","","","3/9/2021",""
"107","90","Metals Industry","Business and Finance","3","N","","","","","","","","",""
"108","90","Non-Profit Organizations","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"109","90","Pharmaceutical Industry","Business and Finance","3","N","","","","hospital","","logos for all relevant brands","","",""
"110","90","Power and Energy Industry","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"111","90","Publishing Industry","Business and Finance","3","N","","","","library; bookstore","","logos for all relevant brands","","",""
"112","90","Real Estate Industry","Business and Finance","3","N","","","","","","logos for all relevant brands","","",""
"34","1","Auto Repair","Automotive","2","Y","","Car Lift, Mechanic, Repair Shop, Detection by Brand (meinke, pep boys, Goodyear, Exxon Quick Lube, etc)","","body_shop","","","","3/9/2021",""
"36","1","Auto Shows","Automotive","2","Y","","","","","Automotive","","","3/9/2021",""
"41","1","Auto Rentals","Automotive","2","Y","","Detect by brand - Enterprise, Car Lot, Airport + Car Rental, Hertz","","","Automotive","logos for all relevant brands","","3/9/2021",""
"137","132","College Education","Education","2","Y","","","","university_indoor; university_outdoor; classroom; graduation","Education, Corporate & Association","logos for all relevant brands","","3/9/2021",""
"149","132","Primary Education","Education","2","Y","","Kids + Classroom, Kids + zoom, Kids at Desks, Kids in Library, Kid off school bus, School Bus","","","","","","3/9/2021",""
"152","150","Fashion Events","Events and Attractions","2","Y","","","","runway_show","Retail","","","3/9/2021",""
"119","90","Biotech and Biomedical Industry","Business and Finance","3","N","","","","hospital_indoor","","logos for all relevant brands","","",""
"120","90","Civil Engineering Industry","Business and Finance","3","N","","","","","","","","",""
"121","90","Construction Industry","Business and Finance","3","N","","","","construction_site","","","","",""
"122","90","Defense Industry","Business and Finance","3","N","","","tanks; submarines; missiles","","","logos for all relevant brands","","",""
"123","","Careers","Careers","1","N","","","","","","","","",""
"124","123","Apprenticeships","Careers","2","N","","","","","","","","",""
"125","123","Career Advice","Careers","2","N","","","","","","","","",""
"126","123","Career Planning","Careers","2","N","","","","","","","","",""
"127","123","Job Search","Careers","2","N","","","","","","","","",""
"128","127","Job Fairs","Careers","3","N","","","","","","","","",""
"129","127","Resume Writing and Advice","Careers","3","N","","","","","","","","",""
"130","123","Remote Working","Careers","2","Maybe","","Zoom Screen, Home + Desk, Home Office, Working at Coffee Shop, ","","","Computers, Corporate & Association","","Zoom, Microsoft Teams, Google Meet","",""
"131","123","Vocational Training","Careers","2","N","","","","","","","","",""
"154","150","Malls & Shopping Centers","Events and Attractions","2","Y","","","","retail_outdoor; retail_shopping","Retail","","","3/9/2021",""
"133","132","Adult Education","Education","2","N","","","","","","","","",""
"134","132","Private School","Education","2","N","","","","","","","","",""
"135","132","Secondary Education","Education","2","N","","","","","","","","",""
"136","132","Special Education","Education","2","N","","","","","","","","",""
"155","150","Museums & Galleries","Events and Attractions","2","Y","","","","museum_indoor","Travel, Government","","","3/9/2021",""
"138","137","College Planning","Education","3","N","","","","","","","","",""
"139","137","Postgraduate Education","Education","3","N","","","","","","","","",""
"140","139","Professional School","Education","4","N","","","","","","","","",""
"141","137","Undergraduate Education","Education","3","N","","","","","","","","",""
"142","132","Early Childhood Education","Education","2","N","","","","classroom_indoor","","","","",""
"143","132","Educational Assessment","Education","2","N","","","","","","","","",""
"144","143","Standardized Testing","Education","3","N","","","","","","","","",""
"145","132","Homeschooling","Education","2","N","","","","","","","","",""
"146","132","Homework and Study","Education","2","N","","","","","","","","",""
"147","132","Language Learning","Education","2","N","","","","","","","","",""
"148","132","Online Education","Education","2","N","","","","","","","","",""
"159","150","Outdoor Activities","Events and Attractions","2","Y","","","","","","","","3/9/2021",""
"160","150","Parks & Nature","Events and Attractions","2","Y","","","","park_outdoor","","","","3/9/2021",""
"151","150","Amusement and Theme Parks","Events and Attractions","2","N","","","","amusement_park","","","","",""
"162","150","Awards Shows","Events and Attractions","2","Y","","","","award_show","Retail, Home","","","3/9/2021",""
"153","150","Historic Site and Landmark Tours","Events and Attractions","2","N","","","","","","","","",""
"163","150","Personal Celebrations & Life Events","Events and Attractions","2","Y","","","","","Retail","","","3/9/2021",""
"175","150","Religious Events","Events and Attractions","2","Y","","Baptism, first communion, bris, bar mitzvah","","religious_event","","","","3/9/2021",""
"156","150","Musicals","Events and Attractions","2","N","","","","theatre_indoor","","","","",""
"157","150","National & Civic Holidays","Events and Attractions","2","N","","","","","","","","",""
"158","150","Nightclubs","Events and Attractions","2","N","","","","nightclub_indoor","","","","",""
"177","150","Theater Venues and Events","Events and Attractions","2","Y","","","","theatre_indoor","Entertainment","","","3/9/2021",""
"178","150","Zoos & Aquariums","Events and Attractions","2","Y","","","elephant; bear; giraffe; zebra","zoo; aquarium","Travel, Government","","","3/9/2021",""
"161","150","Party Supplies and Decorations","Events and Attractions","2","N","","","","celebration","","","","",""
"179","150","Bars & Restaurants","Events and Attractions","2","Y","","","","restaurant_indoor","Restaurants","logos for all relevant brands","","3/9/2021",""
"181","150","Casinos & Gambling","Events and Attractions","2","Y","","Online Gambling, Sport Gambling, Online Casino, Casino App, Slot Machine, Poker, Blackjack, Card Table, Roulette","roulette_wheel; playing_cards; poker_chips; slot_machine","casino_indoor","Travel, Entertainment","logos for all relevant brands","","3/9/2021",""
"164","163","Anniversary","Events and Attractions","3","N","","","","","","","","",""
"182","150","Cinemas and Events","Events and Attractions","2","Y","","AMC, Movie theater, drive in movie theater, Dine in movie theater","","movie_theatre","Travel, Entertainment","","","3/9/2021",""
"166","163","Baby Shower","Events and Attractions","3","N","","","","","","","","",""
"167","163","Bachelor Party","Events and Attractions","3","N","","","","","","","","",""
"168","163","Bachelorette Party","Events and Attractions","3","N","","","","","","","","",""
"169","163","Birth","Events and Attractions","3","N","","","baby","birth","","","","",""
"183","150","Comedy Events","Events and Attractions","2","Y","","Comedian, Comedy, Stand up comedy, improv, sketch comedy","","","Travel, Entertainment","","","3/9/2021",""
"171","163","Funeral","Events and Attractions","3","N","","","","funeral","","","","",""
"184","150","Concerts & Music Events","Events and Attractions","2","Y","","Stadium filled with people, Dark environment + Instruments, Stage, Dancing, Bright Lights","","concert_festival","Travel, Entertainment","","","3/9/2021",""
"188","186","Dating","Family and Relationships","2","Y","","couple at restaurant, couple holding hands, couple in bed, kissing","","","","","Tinder, Bumble, OkCupid, Match.com, Grindr, eharmony, Coffee Meets Bagels","4/15/2022",""
"174","150","Political Event","Events and Attractions","2","N","","","","political_event","","","","",""
"192","186","Parenting","Family and Relationships","2","Y","","mom and dad, mom and kids, dad and kids, parent arguments","","","","","","4/15/2022",""
"176","150","Sporting Events","Events and Attractions","2","N","","","","sporting_event","","","","",""
"200","186","Single Life","Family and Relationships","2","Y","","dating apps","","","","","Tinder, Bumble, OkCupid, Match.com, Grindr, eharmony, Coffee Meets Bagels","4/15/2022",""
"211","210","Alcoholic Beverages","Food & Drink","2","Y","","","Wine glass; wine bottle; beer bottle","","Alcoholic Beverages","logos for all relevant brands","","3/9/2021",""
"214","210","World Cuisines","Food & Drink","2","Y","","food + travel","","","","","","3/9/2021",""
"180","150","Business Expos & Conferences","Events and Attractions","2","N","","","","","","","","",""
"215","210","Barbecues and Grilling","Food & Drink","2","Y","","","","","","","","3/9/2021",""
"216","210","Cooking","Food & Drink","2","Y","","","oven; toaster; microwave; refrigerator; pots; pans","kitchen_indoor; cooking","","","","3/9/2021",""
"217","210","Desserts and Baking","Food & Drink","2","Y","","","cake; cookies","","","","","3/9/2021",""
"218","210","Dining Out","Food & Drink","2","Y","","outside + eating, restaurants, waiter, hostess, hostess stand, menu","","restaurant_indoor","","logos for all relevant brands","","3/9/2021",""
"185","150","Fan Conventions","Events and Attractions","2","N","","Comic Con","","","","","","",""
"222","210","Non-Alcoholic Beverages","Food & Drink","2","Y","","Detect by brand, Coke, Soda, Juice, Seltzer, Soda fountain, water, coffee, coffee cup, tea, tea cup, tea pot, tea time","","","Non-Alcoholic Beverages","logos for all relevant brands","","3/9/2021",""
"187","186","Bereavement","Family and Relationships","2","N","","","","","","","","",""
"225","223","Fitness and Exercise","Healthy Living","2","Y","","Sports, running, biking, rollerblading, ice skating, stretching, weightlifting, crossfit, treadmill, stationary bike, elliptical, gym","exercise_bike; rowing_machine; free_weights","gym_indoor","Sports and Sports Equipment","logos for all relevant brands","","3/9/2021",""
